rank,school,peer_rating,is_enroll,is_ft_students,is_ft_fac,iw_nonres_tuition,fr_sf_ratio,fr_pct_doc,fo_tot_pubs,fo_avg_pubs,fo_tot_res,phd_ug_gpa,sr_gre_v,sr_gre_q,sr_doc_acc
99,University of Alabama--Birmingham,2.9,579,147,38,26616,3.1,15.37,367,9.66,4.70,3.3,,,55.00
99,University of California--San Diego,3.4,52,52,20,27690,1.6,100.00,585,29.25,1.13,3.5,156,146,6.70
99,University of Colorado--Denver,3.2,1363,892,35,31992,6.0,25.46,297,8.49,3.52,3.3,155,145,27.40
99,University of Miami,3.3,532,449,29,55440,6.1,50.19,368,12.69,1.59,3.3,151,148,51.60
99,University of New Hampshire,2.8,170,51,10,15590,2.4,27.65,297,29.70,5.06,3.5,,,52.20
99,University of North Texas,3.0,1141,341,67,18264,2.7,24.54,755,11.27,6.03,3.4,149,149,43.00
99,University of Oklahoma (Rainbolt),3.0,615,442,45,24600,4.3,36.91,380,8.44,12.11,3.1,154,151,92.10
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
